Region,LAWASiteID,LAWAWellName,Latitude,Longitude,Chloride,Dissolved reactive phosphorus,E. coli,Electrical conductivity,Nitrate nitrogen
Canterbury,ECAN-00207,H38/0230,-44.27233931,170.1433197,1.0620689655172415,0.0033130434782608696,1.0,6.34,0.5317241379310345
Canterbury,ECAN-00247,L37/0693,-43.96367401,172.0109404,12.587096774193547,0.005713333333333333,1.0,20.861290322580647,5.606451612903226
Canterbury,ECAN-00268,M36/5895,-43.54828637,172.7481311,4.708571428571429,0.011758333333333334,1.0,13.588571428571429,0.13242857142857142
Canterbury,ECAN-00269,M36/5893,-43.54800703,172.7479838,44.21052631578947,0.2676923076923077,1.0,37.91578947368421,0.07210526315789474
Canterbury,ECAN-00270,M36/5894,-43.5481512,172.7480574,4.534285714285714,0.016833333333333336,1.0,14.808571428571428,0.06391428571428572
Canterbury,ECAN-00297,BZ16/0073,-44.32371477,170.3192591,2.823076923076923,0.031270270270270274,1.0,22.376923076923077,0.9789743589743589
Canterbury,LAWA-102044,BV24/0023,-42.84400781,172.7923208,6.9944444444444445,0.0127,69.97222222222223,15.757142857142856,3.565087719298246
Canterbury,LAWA-102045,BV24/0024,-42.84362294,172.7926301,2.225,0.009277777777777779,1.0,11.19375,0.204375
Canterbury,LAWA-102047,BW24/0037,-43.33910545,172.7061305,63.92857142857143,0.047,1.0,47.02619047619047,0.04371428571428572
Canterbury,LAWA-102051,BZ16/0072,-44.29997177,170.1949447,0.8697674418604651,0.007484615384615385,1.0,6.246511627906977,0.3686046511627907
Canterbury,LAWA-102059,K38/1706,-44.19195204,171.4913615,4.0,0.01727,1.0,12.243478260869566,0.1512608695652174
Canterbury,LAWA-102060,K38/1821,-44.19194288,171.4913492,18.07179487179487,0.030100000000000002,33.8,27.105128205128203,7.42051282051282
Canterbury,LAWA-102067,L37/0867,-43.96368301,172.0109402,27.05762711864407,0.005371428571428571,2.2444444444444445,30.1135593220339,9.710169491525424
Canterbury,LAWA-102078,BU24/0002,-42.532484,172.769094,2.9227272727272724,0.015290000000000002,6.909090909090909,8.170454545454545,4.1045454545454545
Canterbury,LAWA-102079,BV24/0028,-42.9472571,172.8351149,35.75,0.305,1.0,55.846428571428575,0.07210714285714286
Canterbury,LAWA-102080,BV24/0069,-42.96015787,172.5726392,67.66666666666667,0.7333333333333334,97.04166666666667,74.61666666666666,0.04170833333333334
Canterbury,LAWA-102081,BX21/0017,-43.55888685,171.9207373,13.416666666666666,0.010371428571428571,1.0,25.422222222222224,13.205555555555556
Canterbury,LAWA-102082,BX22/0044,-43.64964377,172.1281493,9.057894736842105,0.0076,55.833333333333336,19.847368421052632,5.3999999999999995
Canterbury,LAWA-102083,BY20/0148,-44.01783329,171.4358022,11.272972972972974,0.003622222222222222,1.054054054054054,32.108108108108105,13.656756756756756
Canterbury,LAWA-102084,BY21/0228,-44.04581938,171.6853758,24.65,0.0026666666666666666,1.0,33.449999999999996,2.6340909090909093
Canterbury,LAWA-102085,BZ15/5017,-44.33684324,169.9581196,1.8,0.003055263157894737,1.0,7.852500000000001,1.345
Canterbury,LAWA-102086,BZ15/5018,-44.33671744,170.0257319,1.3829268292682928,0.0031230769230769233,1.0,7.914634146341464,0.3204878048780488
Canterbury,LAWA-102087,BZ15/5019,-44.19510261,170.1030677,0.5435897435897435,0.002637837837837838,1.0,2.4923076923076923,0.05325641025641026
Canterbury,LAWA-102088,CA15/5005,-44.45351331,169.9568483,0.9873170731707318,0.00838421052631579,1.236842105263158,5.648780487804878,0.531219512195122
Canterbury,LAWA-102089,CA15/5006,-44.41394052,169.9902742,1.9714285714285713,0.0050538461538461536,1.0256410256410255,11.07857142857143,1.707857142857143
Canterbury,LAWA-102090,CA15/5007,-44.38434093,169.9986848,1.9777777777777779,0.003993939393939394,1.9705882352941178,11.375,2.9755555555555557
Canterbury,LAWA-102091,CA15/5008,-44.49771429,169.9109353,1.8846153846153846,0.002725,1.0,10.51025641025641,1.213846153846154
Canterbury,LAWA-102092,CA15/5009,-44.39420869,169.8810295,1.16,0.009294594594594594,1.0,4.657500000000001,0.41875
Canterbury,LAWA-102093,CA17/0007,-44.6978233,170.5031378,18.452,0.029375,18.4,27.151999999999997,0.904
Canterbury,LAWA-102094,CA17/0008,-44.66498865,170.5807432,2.910344827586207,0.008533333333333334,2.3448275862068964,11.493103448275862,0.7296551724137931
Canterbury,LAWA-102095,CA18/0019,-44.56384781,171.0096091,52.47826086956522,0.019385714285714284,1.9130434782608696,40.13478260869565,0.10513043478260871
Canterbury,LAWA-102096,CA18/0020,-44.52898855,171.0330344,24.208333333333332,0.02697142857142857,1.0,38.525,1.8241666666666667
Canterbury,LAWA-102097,H38/0004,-44.23540685,170.069174,0.5604651162790698,0.005638461538461538,1.0,2.625581395348837,0.17420930232558138
Canterbury,LAWA-102098,H38/0229,-44.31005177,170.0591323,3.196296296296296,0.003025862068965517,1.0,13.5,2.3176811594202897
Canterbury,LAWA-102099,H39/0148,-44.52253454,169.8469597,1.1962264150943396,0.0027155555555555557,1.0,6.633333333333333,0.5554150943396227
Canterbury,LAWA-102100,I38/0084,-44.15385071,170.3794681,1.09,0.0027590909090909094,1.0,5.9941176470588236,0.20498000000000002
Canterbury,LAWA-102101,I38/0092,-44.29530531,170.3022684,0.8025641025641026,0.0027289473684210526,1.9473684210526316,5.135897435897436,0.16428205128205128
Canterbury,LAWA-102102,I38/0103,-44.26936542,170.2398894,2.006666666666667,0.00862,1.0,11.206666666666667,0.6742222222222222
